,gender,age_range,highest_education_level,preferred_content_type,prefer_movies_over_series_reason,prefer_series_over_movies_reason,binge_watching_preference,preferred_film_type,preferred_genres,popularity_influence_on_decision,actor_importance_rating,budget_quality_indicator,movie_dislike_factors,movie_series_likes,favorite_movie_or_series,favorite_series,favorite_series_summary_and_enjoyment,favorite_series_actors,ideal_episode_duration,series_nationality,favorite_series_what_liked_most,series_seasons_count,favorite_movie,favorite_movie_actor,favorite_movie_description,movie_duration,release_date_importance,movie_decade,movie_genre,movie_budget_importance,general_movie_watching_preference,watching_with_others_preference,real_vs_fictional_preference,movie_review_check_preference,additional_comments_on_preferences
3,Male,15-30,Some College ,Movies ,Higher Production Quality ,"Longer, more detailed storytelling",Binge-Watch ,Home Theaters ,"Action , Crime ",5,4,Yes,stori,great end,Film ,,,,,,,,,,A great comedy movie that i laugh the most ,120,No,90s,"Arabic, American",3,A few months after release,alone,real stories,Yes,"No,Everything is good"
4,Female,15-30,Some College ,Both equally,Shorter Time Commitment ,More content to enjoy,Binge-Watch ,Home Theaters ,"Comedy , Crime , Fantasy , Romance ",4,1,No,mayb plot bad bore,keep engag free time,Film ,,,,,,,,lot tbh big fan disney mayb littl mermaid,mermaid ariel,"Life of mermaids and oceans, sacrificed her voice for a man just to have legs instead of her magic tail",Between 90 and 120,No,other,American,1,Doesn't matter,with others,fictional ones,Yes,No
5,Female,15-30,Bachelor's Degree ,Both equally,Higher Production Quality ,Character development over time,Binge-Watch ,Home Theaters ,"Action , Crime , Romance ",3,2,Yes,,,Film ,,,,,,,,harri potter,angel,,above,Yes,90s,"Arabic, American",3,Years after release,alone,fictional ones,Yes,"No,Everything is good"
6,Male,15-30,High School ,Series ,More Satisfying Storylines ,"Longer, more detailed storytelling",Binge-Watch ,Home Theaters ,"Action , Comedy , Drama ",3,3,Yes,actor,stori,Series ,Prison break ,"a group of people escape from the prison 
characters",michael,40 - 60 min ,other,The story ,5.0,mechan,jason statham,"Arthur, a contract killer, is forced to assassinate three men and make them look like accidents by his arch-rival, who kidnaps his girlfriend and threatens to kill her",Between 90 and 120,Somewhat,other,American,3,Doesn't matter,with others,fictional ones,No,"No,thanks"
7,Female,15-30,High School ,Series ,Shorter Time Commitment ,More content to enjoy,One Episode at a Time ,Theater ,"Drama , Crime , Romance ",4,3,Yes,short detail bore end,,Series ,"K-drama ,mouse","enjoy plot twist action 
storylinecrime serial killer ",,20 - 40 min ,Korean ,The plot twists ,1.0,,,,90,No,other,Arabic,3,When they are first released,alone,real stories,Yes,No
8,Female,15-30,High School ,Both equally,Shorter Time Commitment ,More content to enjoy,One Episode at a Time ,Home Theaters ,"Action , Adventure , Comedy , Drama , History ",3,4,Yes,tradit scenario,suspens stori content,Film ,,,,,,,,interstelar,one actor,"In **Interstellar**, Earth is dying due to environmental disasters, and humanity faces extinction. Cooper, a former NASA pilot, is chosen to join a space mission through a wormhole near Saturn to find a habitable planet. He and his team travel to different planets, encountering extreme time dilation and life-threatening challenges. Meanwhile, back on Earth, his daughter Murphy works on solving a gravity equation to save humanity. Cooper eventually enters a fifth-dimensional space, where he communicates with Murphy through time. She deciphers his messages, leading to humanitys survival. In the end, Cooper reunites with his now-elderly daughter before setting off on a new journey into space.",above,Somewhat,other,American,4,A few months after release,alone,real stories,Yes,"No,thanks"
9,Female,15-30,Some College ,Movies ,More Satisfying Storylines ,Character development over time,One Episode at a Time ,Both or All of these,"Adventure , Drama , Crime , Romance ",4,3,Yes,weak stori,spend time,Film ,,,,,,,,beauti mind,alpachino,A story of a scientist ,90,Somewhat,other,American,3,A few months after release,alone,real stories,Yes,No
10,Female,15-30,Some College ,Both equally,Higher Production Quality ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Fantasy , History ",4,2,Yes,weak storylin poor direct,storylin director obvious,Series ,"Sitcoms generally, the last of us, bojack horseman, mind hunters, love death and robots, fleabag, blue eyes samurai.",bojack horsman for example it was well written so relatable and genius in every sense the relatable characters and how real the talk is such a phenomenon  ,mr peanut butter dian ofc,20 - 40 min ,American ,The characters ,3.0,alexandria,mahmoud el meligi,Egyptian Coming of age movie ,above,Somewhat,70s,Arabic,3,Doesn't matter,alone,real stories,Yes,Depends on the genre
11,Female,15-30,Bachelor's Degree ,Both equally,Famous Actors & Directors ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Crime , Romance ",3,3,No,follow agenda stick main storylin teach lesson like film interest dont lectur,movi love watch stori driven whole new world one new stori good act write direct seri also cinematographi fashion korean drama make want watch seri even,Film ,,,,,,,,la la land,dont think one,"Musical, romance not cringe, breathtaking, colorful, dreamy, drama , everytime I rewatch it I see how great it is ",120,Somewhat,other,American,3,Doesn't matter,alone,real stories,Yes,"Nope the survey was enough, well done"
12,Female,15-30,Some College ,Movies ,Shorter Time Commitment ,More content to enjoy,One Episode at a Time ,Home Theaters ,"Comedy , Drama , Fantasy , Romance ",3,2,Yes,actor stori,movi,Film ,,,,,,,,aveng,kareem abd elaziz,the film is about fantazi and action is a wonderful movie talk about team work to gather to protect the world ,above,No,other,American,2,When they are first released,with others,real stories,Yes,Thanks
13,Male,15-30,Some College ,Movies ,Higher Production Quality ,Character development over time,Binge-Watch ,Theater ,"Adventure , Drama , Horror , Crime , Fantasy , Romance ",2,3,I don't know,blood,movi,Film ,,,,,,,,furya,peter pet,The wer,120,Yes,70s,American,4,Years after release,alone,real stories,Yes,"No,Everything is good"
14,Female,15-30,High School ,Movies ,Shorter Time Commitment ,"Longer, more detailed storytelling",Binge-Watch ,Streaming Services,"Action , Adventure , Drama , Romance ",4,4,Yes,like movi like seri,love lost great stori whether suspens emot unexpect twist,Film ,,,,,,,,asal aswad,ahm helmi,"is a comedy-drama about an Egyptian expat who returns home after years in the U.S., rediscovering both the beauty and challenges of his homeland",above,No,other,Arabic,4,Doesn't matter,with others,real stories,Yes,Yes at the first paper i choose i love watching movies so you ask why you prefer watching movies over seris and it was must respond and after this question anthor question why you prefer watching series over movies how can I answer this if i put i love watching movies and it must respond so there will be error in the analysis behind this all things was funny wish you the best
15,Female,15-30,High School ,Movies ,Shorter Time Commitment ,Character development over time,One Episode at a Time ,Both or All of these,"Adventure , Comedy , Horror , Crime , Fantasy , Romance ",3,5,Yes,doesnt make sens,relat,Film ,,,,,,,,shutter island fault star,cant rememb name,It's too long but I like it for The plot twist ,120,No,90s,American,5,Doesn't matter,alone,real stories,Yes,"No,Everything is good"
16,Male,15-30,Some College ,Both equally,Higher Production Quality ,Character development over time,Binge-Watch ,Theater ,"Crime , Fantasy ",2,4,No,bad cgi bad cinematographi poor charact develop movi less hour,good stori great act caramel popcorn,Series ,Dexter the serial killer,"dexter is serial killer works in miami police department and follows his dad code to kill only bad people
the development of dexter over the seasons was perfect and each season has it cliffhanger ending",michael c hall,40 - 60 min ,American ,The story ,10.0,dark night,gari oldman,"The Joker believes Gotham is built on a lieorder, justice, and hope are illusions. To prove it, he pushes people to their breaking point, showing that anyone can fall into chaos.",120,Somewhat,other,American,3,Doesn't matter,alone,fictional ones,Yes,"No,Everything is good"
17,Female,15-30,High School ,Both equally,More Satisfying Storylines ,Cliffhangers keep me engaged,Binge-Watch ,Home Theaters ,"Action , Adventure , Horror , Crime , Fantasy ",3,2,No,take short time,stori plot,Film ,,,,,,,,nonstop,liam neeson,It's an interesting movie without any boring moments ,Between 90 and 120,Somewhat,other,American,3,Years after release,alone,fictional ones,Yes,"No,Everything is good"
18,Female,15-30,Some College ,Movies ,Shorter Time Commitment ,Character development over time,Binge-Watch ,Both or All of these,"Action , Comedy , Fantasy ",1,1,No,mc unlik,experienc stori new world,Film ,,,,,,,,spiderman spider vers,ryan reynold,animated spiderman movie about miles morals ,Between 90 and 120,Somewhat,other,American,1,Doesn't matter,with others,fictional ones,No,No
19,Female,15-30,High School ,Movies ,Shorter Time Commitment ,Cliffhangers keep me engaged,Binge-Watch ,Home Theaters ,"Drama , Horror , Crime ",5,2,No,weak stori unrealist event,experi new situat see differ kind peopl,Film ,,,,,,,,shrew nest,jake gyllenha american actor arab actress,exploits one woman's social insanity after being condemned to an apartment prison by her own fears,90,No,other,Other,1,Doesn't matter,alone,real stories,Yes,"No,Everything is good"
20,Female,15-30,High School ,Both equally,More Satisfying Storylines ,More content to enjoy,One Episode at a Time ,Home Theaters ,"Action , Drama , Fantasy ",3,1,Yes,bad stori actor,enjoy vibe dive deep stori,Film ,,,,,,,,five feet apart english arab,charli cox emilia clarck,"The boy and girl met by accident in the hospital as the boy must be watched by doctors to take his medicine and the girl because she's waiting for changing her  , their illness is different but if they are close less than 5 feets the infection will be bad for them, they try to keep this distance (five feet apart)",Between 90 and 120,No,other,American,1,Doesn't matter,alone,real stories,No,No
21,Male,15-30,Some College ,Both equally,Shorter Time Commitment ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Drama , Crime , Fantasy , Romance , History ",3,3,No,,,Film ,,,,,,,,interstellar,matthew mcconaughey,science fiction film,above,No,other,American,3,Doesn't matter,with others,real stories,No,
